《新起点英语》小学单词归类
 
seasons: (季节)
wash hands before eating    饭前洗手
brush teeth twice a day  一天刷牙两次
see a doctor / dentist   看医生 / 牙医
take some medicine    吃药
eat more vegetables and fruits and less meat           多吃蔬菜水果少吃肉

shouldn’t 不应该
drink too much pop      喝太多汽水
eat too much candy       吃太多糖
eat too much meat        吃太多肉
eat with dirty hands     不洗手吃东西
eat junk food every day  
每天吃垃圾食品
eat too much junk food
吃太多垃圾食品
stay up late         熬夜
watch too much TV  看太多电视
leave garbage everywhere 乱扔垃圾
play computer games for too long
                玩太久电脑游戏
play too much on the computer
              
safety:(安全规则)
dangerous            危险的
safe                 安全的
Be careful            小心点
traffic light           交通灯
Please use the footbridge.
请使用过街天桥
Please use the crosswalk.
请使用人行横道
Please use the underpass.
请使用地下通道
Please use the sidewalk.
请使用人行道
Don’t climb the window.
不要爬窗户
Don’t run downstairs.
不要往楼下跑
Don’t play with fire.
不要玩火
Don’t touch it.       不要碰它
Don’t climb over the fence.
不要翻越护栏
Don’t cross the street  
不要横穿马路
Don’t play in the street.
不要在街上玩

nature：（自然）  
moon                   月亮      
sun                    太阳 
Mars                   火星
earth                   地球    
land                    陆地
ocean                   海洋
sea                     大海     
beach                   海滩
air                      空气 
hill                     小山
mountain                高山
forest                   森林
rain                      雨
river                   河流
sky                    天空
star                    星星
lake                      湖
bridge                    桥
tree                      树
flower                    花
grass                     草
wind                     风
snow                     雪
snow-capped mountain     雪山
temple                  庙宇
bridge                    桥
bench                   长凳
cloud                   云彩    
pollution                污染          
peace                   和平    
Spaceship             宇宙飞船  
robot                   机器人

festival: (节假日)
birthday                 生日
Children’s Day         儿童节
Christmas             圣诞节
New Year               元旦
Spring Festival           春节
Chinese New Year        春节
Teachers’ Day          教师节
Mid-Autumn Day       中秋节
Moon Festival          中秋节
Thanksgiving           感恩节
Halloween             万圣节
vacation                 假期
holiday                  假期   
the summer vacation       暑假
the winter vacation        寒假
dragon dance             舞龙
paper-cut                剪纸
bell                     铃铛
present                  礼物
gift                     礼物

Animals: (动物)
pet                   宠物
mammal：哺乳动物   
cat                   猫
dog                   狗
pig                   猪
rabbit                兔子
tiger                 老虎
elephant              大象
monkey              猴子
panda                熊猫
horse                马
hippo                河马     
zebra                斑马  
lion                 狮子
giraffe               长颈鹿
whale                鲸  
bear                  熊 
fox                  狐狸
mouse（mice 复数）  老鼠
kangaroo             袋鼠
koala                树袋熊，考拉
sheep                绵羊
goat                 山羊
reptile：爬行动物   
turtle                乌龟
snake                蛇
crocodile             鳄鱼 
dinosaur              恐龙  
bird：鸟
chicken               鸡
duck                 鸭子
parrot                鹦鹉
ostrich               鸵鸟  
penguin              企鹅  
hummingbird          蜂鸟 
fish： 鱼
goldfish              金鱼
shark                鲨鱼    
insect：昆虫   
butterfly              蝴蝶
bee                  蜜蜂

color：(颜色)
black                黑色的
blue                 蓝色的 
brown               棕色的
green                绿色的 
orange               桔色的 
pink               粉色的 
purple             紫色的 
red                红色的
yellow             黄色的
white              白色的

Continent: (洲)
Asia                亚洲  
Europe              欧洲   
Africa               非洲  
North America       北美洲  
South America       南美洲  
Oceania            大洋洲
Antarctica           南极洲 

Countries(国家)
Russia              俄罗斯
Canada             加拿大
China              中国
the United Kingdom   英国
Australia            澳大利亚
The United States     美国
France              法国
Germany            德国
Japan               日本
Spain               西班牙
Egypt               埃及  
Thailand             泰国
Korea               韩国
Italy                意大利
Denmark              丹麦

City：城市 
province：省份
Inner Mongolia       内蒙古
Tibet                 西藏
city:  城市
Hong Kong          香港
Lhasa               拉萨
London              伦敦
Washington.D.C       华盛顿
Los Angeles          洛杉矶
Moscow             莫斯科
Paris                巴黎
Tokyo               东京
Toronto              多伦多
Sydney	           悉尼
Ottawa              渥太华

Language: (语言)
Russian             俄语
English             英语
Chinese             汉语 
French              法语     
German             德语
Japanese            日语    
Spanish             西班牙语
Egyptian            埃及语
Thai                泰语
Italian              意大利语
Korean              韩语 
Danish              丹麦语

direction: (方位)
east                东，东方 
south               南，南方   
west                西，西方   
north               北，北方  
in                  在里面
on       在上面；在……指时间
under                  在下面
from             从……来
like         像，如何（指天气）
at      在……(指时间的某一点)
before             在……之前
*across from       在……对面
*behind               在后面
*between          在……中间
*next to               紧挨着
*beside            在……旁边
 
Travel: (旅游)
the Red Square             红场
CN tower         多伦多电视塔
Beijing duck           北京烤鸭
Beijing Opera              京剧
the Great Wall              长城  
Tiananmen Square     天安门广场
the Summer Palace         颐和园
Beihai Park             北海公园
Beijing Zoo           北京动物园
the Temple of Heaven        天坛
the Forbidden City         紫禁城
the Palace Museum          故宫
Temple Fair                庙会
Qin warriors              兵马俑
the Terracotta Army        兵马俑
Mount Tai                  泰山
Mount Emei              峨眉山
Shaolin Temple           少林寺
West Lake                 西湖
the Buddha Palace       布达拉宫
Chinese tea               中国茶
garden                     园林
silk                       丝绸 
Big Ben                 大本钟
Sydney Opera House   悉尼歌剧院
Disneyland           迪斯尼乐园
Eiffel Tower          埃菲尔铁塔
cherry blossom              樱花
pyramid                  金字塔  
palace                     宫殿 
safari park            野生动物园
forest                      森林

transportation: 
(交通工具)
bike                    自行车
bus                   公共汽车
car                     小汽车
plane                     飞机
ship                      轮船
boat                      小船
taxi                     出租车
train                      火车
van                     客货车
subway                    地铁
bike                     自行车
scooter                  电瓶车

toys: (玩具)
ball                        球
teddy bear               玩具熊
doll                    洋娃娃
pinwheel                  风车
box                      盒子

TV Show 电视节目类
children’s show       儿童类节目
music show          音乐类节目
weather report          天气预报
entertainment show      娱乐节目
talk show       访谈节目、脱口秀
nature show          自然类节目
cooking show         烹饪类节目
sports show           体育类节目
Peking opera               京剧
news show           新闻类节目
movie	电影
commercial	广告
Cartoon City		   动画城
Chinese Music Video	中国音乐电视
Sports World	体育世界
The Dragon Club	小神龙俱乐部
The Magic Earth	神奇地球
Comedy	喜剧
Action	动作电影
Quiz	智力问答
Animal World	动物世界
Artist’s Life	艺术人生
Game Show	游戏节目
The Morning News	早间新闻
Afternoon News	午后新闻
Jim’ s Kitchen	吉姆的厨房

Feeling （情绪类）
interesting                有趣的
exciting              激动人心的
cool                       酷的
just so-so                 一般的
boring                   无趣的
fun                      有趣的
easy                     容易的
hard                     困难的
emotion：（情绪）
angry                    生气的
excited                   兴奋的
happy                    高兴的
sad                      伤心的
surprised                 惊讶的
proud                    自豪的
nervous                  紧张的
scared                   害怕的

question: 疑问词
how           如何；怎样
what                 什么
when            什么时候
where                哪里
who                   谁
whose               谁的
which              哪一个
why               为什么
how often      多久；多常
how many     多少(个……)
how much          多少钱
what day           哪一天
what time        什么时间
what color        什么颜色
what kind of      哪一种类

比较级、最高级
than                  比
who                  谁
whose               谁的
big-bigger-biggest     大的        
small-smaller-smallest  小的
new-newer-newest     新的
old-older-oldest       旧的
tall-taller-tallest       高的
short-shorter-shortest  短/矮
thick-thicker-thickest   厚的
thin-thinner-thinnest 薄/瘦的
fast-faster-fastest      快地
slow---slower—slowest 慢地   
fast-faster-fastest      快地   
long-longer-longest    长的
pretty-prettier-pretties      漂亮的
hard----harder----hardest    努力地
  
good/well-better-best

人称代词
I ----------my---------me        我
You ------your------you         你
He---------his--------him        他
She--------her--------her         她
We---------our--------us       我们
They------their-------the      他们

反义词汇总：
big——small
大的    小的
old——new
旧的   新的
pretty——ugly
漂亮的    丑陋的
black——white
黑色的    白色的
easy——hard
简单的   困难的
slim——big
苗条的   肥胖的
tall——short
高的     矮的
expensive——cheap
贵的       便宜的
warm——cool
暖喝的    凉爽的
interesting——boring
有趣的      无聊的
fast——slow
快的    慢的















单词搭配 




 



 

Place  地点	things to do做的事情
beach           海滩              	swim               游泳
Mount Tai       泰山	see the sunrise      看日出
Shaolin Temple  少林寺	Learn Wushu       学武术
West Lake       西湖	take picture          拍照
safari park  野生动物园	see wild animals观看野生动物
Kuming          昆明	see a flower show   观看花展
Thailand         泰国	see elephant        观看大象
Tibet            西藏	see the Buddha Place看不达拉宫
*Australia    澳大利亚    	see kangaroos      观看袋鼠
feed the koalas       喂考拉
*Xi’an           西安	see Dayan Tower    参观大雁塔
*Harbin        哈尔滨	see the ice lantern show看冰灯



 
 
Job 职业	Place  地点	Job 职业	Place  地点
teacher	school	dentist, doctor, nurse	hospital
waiter, cook	hotel	hairdresser	beauty shop
hairdresser’s
salesclerk	store, supermarket	mailman	post office
computer programmer	office	policeman	police station
 




 
动词过去式
 
Regular Verbs(规则动词):
 
1.	词尾直接+(e)d
play---played
stay---stayed
learn---learned
rain---rained
snow---snowed
climb---climbed
travel---travel(l)ed
water---watered
borrow---borrowed
pull---pulled
ski---skied
sew---sewed
answer---answered
live---lived
move---moved

ask---asked
look---looked
walk---walked
work---worked
cook---cooked
kick---kicked
jump---jumped
dance---danced
wash---washed
finish---finished
watch---watched
touch---touched
reach---reached
help---helped

start---started
visit---visited
paint—painted
want---wanted
plant---planted
collect---collected
celebrate---celebrated
skate---skated
taste---tasted

2.	辅音字母+y结尾的，变y为i +ed
study---studied
carry---carried
copy---copied
try---tried
fry---fried

3.	重读闭音节，双写末尾的辅音字母+ed
stop---stopped
shop---shopped 
drop---dropped
fit---fitted
knit---knitted


Irregular Verbs（不规则动词）:
is /am---was
are---were
can---could
will---would 
shall---should
may---might

have/has---had
go---went
do---did
say---said
make---made
take---took
stand---stood
see---saw
eat---ate
lose---lost
fall---fell
get---got
forget---forgot

feel---felt
sleep---slept

meet---met
